name = extended_platinum_ec
technique = EC
tstamp = 1580480022.0
backend_name = BackendBase(none, address=none)
id = 7
timecol 'time/s' for: '$U_{RHE}$ / [V]' and '<I>/mA' and 'selector'
aliases = {"t": ["time/s"], "raw_potential": ["$U_{RHE}$ / [V]"], "raw_current": ["<I>/mA"], "selector": ["selector"]}
N_header_lines = 10

time/s,	$U_{RHE}$ / [V],	<I>/mA,	selector
0.05678510665893555,	0.40166284999999996,	7.460747190395978e-05,	0,	
1.0567851066589355,	0.40084253999999997,	7.809163323361178e-05,	0,	
2.0567851066589355,	0.39981239999999996,	7.943496939607255e-05,	0,	
3.0567851066589355,	0.40048008999999996,	7.836175504643845e-05,	0,	
4.0567851066589355,	0.40177728999999995,	7.47031529808338e-05,	0,	
5.0567851066589355,	0.40042283999999995,	6.973251824859386e-05,	0,	
6.0567851066589355,	0.40154838,	6.50354411235412e-05,	0,	
7.0567851066589355,	0.40168192999999996,	6.173360167417165e-05,	0,	
8.056785106658936,	0.40217792999999996,	6.012422719816756e-05,	0,	
9.056784868240356,	0.40212067999999995,	6.133065429310134e-05,	0,	
10.056784868240356,	0.40101423999999997,	6.5066483234767e-05,	0,	
11.056784868240356,	0.40068992999999997,	6.998851324150336e-05,	0,	
12.056784868240356,	0.40130039999999995,	7.419867516377941e-05,	0,	
13.056784868240356,	0.40114777999999995,	7.765509778320714e-05,	0,	
14.056784868240356,	0.399717,	7.915110973455626e-05,	0,	
15.056784868240356,	0.40198715999999995,	7.788144549649573e-05,	0,	
16.056784868240356,	0.40131946999999996,	7.40845409217968e-05,	0,	
17.056784868240356,	0.40164377999999995,	6.935743813659767e-05,	0,	
18.056784868240356,	0.40131946999999996,	6.462778173130907e-05,	0,	
19.056784868240356,	0.40192990999999995,	6.150318494613856e-05,	0,	
20.056784868240356,	0.40255946,	5.983489526638526e-05,	0,	
21.056784868240356,	0.40261667999999995,	6.07733731819791e-05,	0,	
22.056784868240356,	0.40177728999999995,	6.43938028093941e-05,	0,	
23.056784868240356,	0.40068992999999997,	6.916493137268842e-05,	0,	
24.056784868240356,	0.40061362999999994,	7.366136635217227e-05,	0,	
25.056784868240356,	0.40091883999999994,	7.740915427078784e-05,	0,	
26.056784868240356,	0.40135761999999997,	7.902094767280781e-05,	0,	
27.056784868240356,	0.40044194,	7.810257505798846e-05,	0,	
28.056784868240356,	0.400709,	7.463521072193641e-05,	0,	
29.056784629821777,	0.40147208999999995,	6.952894433203457e-05,	0,	
30.056784629821777,	0.40212067999999995,	6.49265251368603e-05,	0,	
31.056784629821777,	0.40257853,	6.093266649157838e-05,	0,	
32.05678462982178,	0.40172007,	5.944403394628347e-05,	0,	
33.05678462982178,	0.40131946999999996,	6.014076550989666e-05,	0,	
34.05678462982178,	0.40294097999999995,	6.394478940306383e-05,	0,	
35.05678462982178,	0.40181546999999995,	6.850191375297053e-05,	0,	
36.05678462982178,	0.400709,	7.295292871791609e-05,	0,	
37.05678462982178,	0.39941179,	7.699234172271188e-05,	0,	
38.05678462982178,	0.39983146999999997,	7.895287962982132e-05,	0,	
39.05678462982178,	0.40137669,	7.820334833762654e-05,	0,	
40.05678462982178,	0.40089976,	7.460085796598143e-05,	0,	
41.05678462982178,	0.40080439999999995,	7.002464769544732e-05,	0,	
42.05678462982178,	0.40189176,	6.533825270830672e-05,	0,	
43.05678462982178,	0.40238776,	6.165191879175603e-05,	0,	
44.05678462982178,	0.40276928999999995,	5.96432837742725e-05,	0,	
45.05678462982178,	0.40269299999999997,	6.038556244083679e-05,	0,	
46.05678462982178,	0.40213974999999996,	6.402940295432687e-05,	0,	
47.05678462982178,	0.40068992999999997,	6.847188923312611e-05,	0,	
48.0567843914032,	0.40172007,	7.283549135338489e-05,	0,	
49.0567843914032,	0.40032746999999996,	7.685008905824586e-05,	0,	
50.0567843914032,	0.40084253999999997,	7.896077081798007e-05,	0,	
51.0567843914032,	0.40065177999999996,	7.844457955357028e-05,	0,	
52.0567843914032,	0.40013670999999995,	7.510037645609474e-05,	0,	
