name = extended_platinum_ec
technique = EC
tstamp = 1580482722.0
backend_name = memory
id = 6
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]' and 'selector'
N_header_lines = 9

time/s,	raw potential / [V],	raw current / [mA],	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	selector
0.4683523178100586,	1.147848,	0.050015192,	1.862848,	0.050015192,	0,	
0.9683523178100586,	1.1476954,	0.050014555,	1.8626953999999998,	0.050014555,	0,	
1.4683523178100586,	1.1486875,	0.050022192,	1.8636875000000002,	0.050022192,	0,	
1.9683523178100586,	1.1484966,	0.050015826,	1.8634966,	0.050015826,	0,	
2.4683523178100586,	1.1486684,	0.050018374,	1.8636684,	0.050018374,	0,	
2.9683523178100586,	1.149069,	0.050020281,	1.8640689999999998,	0.050020281,	0,	
3.4683523178100586,	1.1488019,	0.050012648,	1.8638019,	0.050012648,	0,	
3.9683523178100586,	1.149088,	0.05000883,	1.8640880000000002,	0.05000883,	0,	
4.468352317810059,	1.1494696,	0.050004374,	1.8644696,	0.050004374,	0,	
4.968352317810059,	1.1493552,	0.049998019,	1.8643551999999999,	0.049998019,	0,	
5.468352317810059,	1.1485157,	0.050015192,	1.8635156999999998,	0.050015192,	0,	
5.968352317810059,	1.148592,	0.050002467,	1.8635920000000001,	0.050002467,	0,	
6.468352317810059,	1.1487066,	0.049999289,	1.8637066,	0.049999289,	0,	
6.968352317810059,	1.1492025,	0.049997378,	1.8642024999999998,	0.049997378,	0,	
7.468352317810059,	1.1491643,	0.050006285,	1.8641643,	0.050006285,	0,	
7.968352317810059,	1.1493552,	0.050009467,	1.8643551999999999,	0.050009467,	0,	
8.468352317810059,	1.1496985,	0.050003104,	1.8646984999999998,	0.050003104,	0,	
8.968352317810059,	1.1498892,	0.050011374,	1.8648892,	0.050011374,	0,	
9.468352317810059,	1.1492025,	0.050012011,	1.8642024999999998,	0.050012011,	0,	
9.968352317810059,	1.1488782,	0.050013918,	1.8638781999999998,	0.050013918,	0,	
10.468352317810059,	1.1479816,	0.050015192,	1.8629816,	0.050015192,	0,	
10.968352317810059,	1.1482868,	0.050022826,	1.8632868,	0.050022826,	0,	
11.468352317810059,	1.1482105,	0.050012648,	1.8632105,	0.050012648,	0,	
11.968352317810059,	1.1481533,	0.050015826,	1.8631533,	0.050015826,	0,	
12.468352317810059,	1.1472567,	0.050016467,	1.8622567,	0.050016467,	0,	
12.968352317810059,	1.1480198,	0.050017737,	1.8630198,	0.050017737,	0,	
13.468352317810059,	1.1474856,	0.050020918,	1.8624855999999999,	0.050020918,	0,	
13.968352317810059,	1.148325,	0.050022192,	1.8633250000000001,	0.050022192,	0,	
14.468352317810059,	1.1482296,	0.050010741,	1.8632296,	0.050010741,	0,	
14.968352317810059,	1.1486875,	0.0500171,	1.8636875000000002,	0.0500171,	0,	
15.468352317810059,	1.1486303,	0.050019011,	1.8636303,	0.050019011,	0,	
15.968352317810059,	1.1488782,	0.050012011,	1.8638781999999998,	0.050012011,	0,	
16.46835231781006,	1.1488019,	0.050006922,	1.8638019,	0.050006922,	0,	
16.96835207939148,	1.149088,	0.050012648,	1.8640880000000002,	0.050012648,	0,	
17.46835207939148,	1.1493169,	0.050002467,	1.8643169,	0.050002467,	0,	
17.96835207939148,	1.1490499,	0.050006922,	1.8640499,	0.050006922,	0,	
18.46835207939148,	1.1496985,	0.050002467,	1.8646984999999998,	0.050002467,	0,	
18.96835207939148,	1.1491452,	0.050003745,	1.8641451999999998,	0.050003745,	0,	
19.46835207939148,	1.1496031,	0.050004374,	1.8646031,	0.050004374,	0,	
19.96835207939148,	1.1494696,	0.0500101,	1.8644696,	0.0500101,	0,	
20.46835207939148,	1.1500419,	0.050013918,	1.8650419,	0.050013918,	0,	
20.96835207939148,	1.1491262,	0.050010741,	1.8641261999999998,	0.050010741,	0,	
21.46835207939148,	1.1497748,	0.050013918,	1.8647748000000002,	0.050013918,	0,	
21.96835207939148,	1.1491452,	0.050020918,	1.8641451999999998,	0.050020918,	0,	
22.46835207939148,	1.1487066,	0.050011374,	1.8637066,	0.050011374,	0,	
22.96835207939148,	1.1486303,	0.050015192,	1.8636303,	0.050015192,	0,	
23.46835207939148,	1.1487447,	0.050014555,	1.8637446999999998,	0.050014555,	0,	
23.96835207939148,	1.1484394,	0.050020281,	1.8634393999999999,	0.050020281,	0,	
24.46835207939148,	1.1483631,	0.050026644,	1.8633631,	0.050026644,	0,	
24.96835207939148,	1.1488401,	0.050018374,	1.8638401,	0.050018374,	0,	
25.46835207939148,	1.1479626,	0.050015826,	1.8629626,	0.050015826,	0,	
25.96835207939148,	1.1489354,	0.050014555,	1.8639354,	0.050014555,	0,	
26.46835207939148,	1.147848,	0.050019011,	1.862848,	0.050019011,	0,	
26.96835207939148,	1.1485538,	0.05000883,	1.8635538,	0.05000883,	0,	
27.46835207939148,	1.1489927,	0.050006285,	1.8639926999999998,	0.050006285,	0,	
27.96835207939148,	1.149088,	0.0500101,	1.8640880000000002,	0.0500101,	0,	
28.46835207939148,	1.1497366,	0.050011374,	1.8647366,	0.050011374,	0,	
28.96835207939148,	1.1496985,	0.050011374,	1.8646984999999998,	0.050011374,	0,	
29.46835207939148,	1.1493933,	0.050011374,	1.8643933000000001,	0.050011374,	0,	
29.96835207939148,	1.1500419,	0.050013918,	1.8650419,	0.050013918,	0,	
30.46835207939148,	1.1507478,	0.050006285,	1.8657477999999998,	0.050006285,	0,	
30.96835207939148,	1.1501373,	0.050005652,	1.8651372999999998,	0.050005652,	0,	
31.46835207939148,	1.1510339,	0.050003104,	1.8660339000000001,	0.050003104,	0,	
31.96835207939148,	1.149832,	0.050007559,	1.8648319999999998,	0.050007559,	0,	
32.46835207939148,	1.149565,	0.050003104,	1.8645649999999998,	0.050003104,	0,	
32.96835207939148,	1.1500992,	0.050011374,	1.8650992,	0.050011374,	0,	
33.46835207939148,	1.1489927,	0.050008193,	1.8639926999999998,	0.050008193,	0,	
33.96835207939148,	1.1491452,	0.050013918,	1.8641451999999998,	0.050013918,	0,	
34.46835207939148,	1.1487638,	0.050013918,	1.8637638,	0.050013918,	0,	
34.96835207939148,	1.1476763,	0.050021552,	1.8626763,	0.050021552,	0,	
35.46835207939148,	1.1480007,	0.050022826,	1.8630007000000002,	0.050022826,	0,	
35.96835207939148,	1.1477908,	0.050017737,	1.8627908,	0.050017737,	0,	
36.46835207939148,	1.1484013,	0.050027914,	1.8634013,	0.050027914,	0,	
36.9683518409729,	1.1484394,	0.050015826,	1.8634393999999999,	0.050015826,	0,	
37.4683518409729,	1.1484966,	0.050020281,	1.8634966,	0.050020281,	0,	
37.9683518409729,	1.1496794,	0.050020281,	1.8646794,	0.050020281,	0,	
38.4683518409729,	1.1503853,	0.0500171,	1.8653852999999998,	0.0500171,	0,	
38.9683518409729,	1.1502136,	0.050006285,	1.8652136000000001,	0.050006285,	0,	
39.4683518409729,	1.1501373,	0.05000883,	1.8651372999999998,	0.05000883,	0,	
39.9683518409729,	1.1499465,	0.050012011,	1.8649464999999998,	0.050012011,	0,	
40.4683518409729,	1.1499655,	0.050013285,	1.8649654999999998,	0.050013285,	0,	
40.9683518409729,	1.1502327,	0.05000056,	1.8652327,	0.05000056,	0,	
41.4683518409729,	1.1500801,	0.0500101,	1.8650801000000001,	0.0500101,	0,	
41.9683518409729,	1.1507287,	0.050003745,	1.8657287,	0.050003745,	0,	
42.4683518409729,	1.1501564,	0.050003745,	1.8651564,	0.050003745,	0,	
42.9683518409729,	1.1501373,	0.050002467,	1.8651372999999998,	0.050002467,	0,	
43.4683518409729,	1.1492978,	0.050004374,	1.8642978000000001,	0.050004374,	0,	
43.9683518409729,	1.1497176,	0.050015192,	1.8647176,	0.050015192,	0,	
44.4683518409729,	1.1496985,	0.050009467,	1.8646984999999998,	0.050009467,	0,	
44.9683518409729,	1.1489736,	0.050014555,	1.8639736,	0.050014555,	0,	
45.4683518409729,	1.1484203,	0.05000883,	1.8634203,	0.05000883,	0,	
45.9683518409729,	1.1495841,	0.0500171,	1.8645841,	0.0500171,	0,	
46.4683518409729,	1.1491834,	0.050017737,	1.8641834,	0.050017737,	0,	
46.9683518409729,	1.1491071,	0.050020918,	1.8641071,	0.050020918,	0,	
47.4683518409729,	1.1499465,	0.050020918,	1.8649464999999998,	0.050020918,	0,	
47.9683518409729,	1.1496603,	0.050015826,	1.8646603000000002,	0.050015826,	0,	
48.4683518409729,	1.1490499,	0.0500101,	1.8640499,	0.0500101,	0,	
48.9683518409729,	1.1494696,	0.0500171,	1.8644696,	0.0500171,	0,	
49.4683518409729,	1.1496603,	0.050015192,	1.8646603000000002,	0.050015192,	0,	
